Track,Driver,Team,Starting Grid,Year,Target_Tier
1,18,1,18,2021,2
23,12,0,15,2023,2
33,6,2,12,2020,1
25,8,6,3,2021,0
34,8,7,19,2023,2
1,20,15,7,2022,1
20,24,22,3,2021,0
9,19,7,11,2024,2
29,17,17,4,2025,1
29,5,15,16,2022,1
20,36,12,2,2019,0
15,34,28,20,2019,2
2,7,6,8,2022,1
17,37,21,18,2019,1
29,7,6,15,2024,2
22,21,17,7,2021,1
16,0,28,17,2022,2
28,19,9,18,2021,2
5,20,15,7,2024,1
3,12,0,17,2023,2
28,7,6,5,2022,1
26,6,2,11,2020,1
15,5,18,15,2024,2
17,31,15,2,2024,0
7,11,28,18,2019,2
8,17,17,4,2025,0
19,23,28,6,2023,2
1,38,14,9,2024,2
1,25,13,12,2022,2
18,19,8,22,2026,2
2,21,17,3,2023,0
17,11,17,4,2023,1
23,22,3,19,2023,2
25,11,17,1,2024,1
7,7,13,20,2025,2
29,3,16,7,2019,2
21,4,12,7,2023,1
7,4,12,5,2022,1
5,0,27,12,2019,1
34,8,7,7,2024,2
22,8,6,7,2022,1
11,0,28,14,2024,2
9,10,10,16,2026,2
4,16,13,16,2022,2
16,20,16,7,2019,1
9,37,23,2,2024,0
30,25,13,10,2022,2
4,20,15,7,2025,1
4,17,17,4,2025,1
8,32,4,15,2022,2
31,19,9,9,2021,1
19,0,28,16,2025,2
8,13,19,12,2025,2
16,16,13,16,2020,1
4,24,22,3,2021,2
22,37,24,3,2022,0
18,34,28,20,2019,2
11,12,14,17,2024,2
18,0,28,16,2022,2
29,10,14,14,2025,2
5,19,21,13,2020,2
27,4,12,4,2020,2
23,7,6,12,2022,1
7,5,3,17,2023,2
2,34,28,20,2019,2
15,7,6,9,2021,1
11,5,26,5,2020,0
3,32,6,13,2024,1
18,20,15,10,2022,1
32,19,9,8,2021,1
16,16,13,14,2019,2
23,16,13,20,2024,2
4,39,23,6,2025,1
22,21,17,5,2023,1
22,27,26,11,2019,2
30,24,23,2,2024,0
30,21,12,5,2025,1
30,36,12,3,2019,1
9,23,28,20,2024,2
29,38,0,16,2023,2
17,21,17,19,2022,1
21,3,12,2,2022,0
11,37,22,2,2021,2
34,3,16,7,2019,1
19,19,7,18,2024,2
34,31,15,10,2023,2
22,3,12,4,2023,1
33,36,12,14,2020,1
18,0,22,6,2019,1
30,24,23,3,2025,1
5,23,28,18,2024,2
14,5,26,13,2019,2
3,4,12,12,2021,1
29,12,0,19,2023,2
21,21,17,6,2022,1
4,39,3,8,2023,1
19,37,23,11,2023,0
13,24,24,2,2022,0
15,8,7,7,2025,1
4,3,16,9,2019,1
16,38,17,2,2021,2
20,4,12,8,2021,1
24,1,1,12,2021,2
21,37,24,4,2022,1
23,37,23,7,2023,1
1,32,2,9,2020,1
7,16,13,8,2022,2
2,17,17,2,2026,0
4,4,12,1,2021,1
4,32,22,20,2019,2
9,24,23,1,2024,0
2,5,26,12,2019,2
16,11,28,17,2021,1
26,37,22,8,2021,1
18,8,7,10,2023,1
20,30,13,9,2025,1
34,36,12,2,2019,2
8,11,17,1,2025,0
6,21,17,3,2021,0
4,11,17,5,2022,0
28,24,23,1,2025,0
17,37,22,8,2021,1
2,19,7,6,2023,1
4,20,15,7,2023,1
18,7,6,5,2022,1
5,1,1,16,2019,2
1,3,16,8,2019,1
3,8,6,19,2022,1
17,13,19,19,2025,1
1,20,15,1,2024,0
18,0,28,14,2024,2
10,16,13,15,2020,2
19,12,0,17,2023,2
25,37,22,11,2021,1
24,32,2,9,2021,1
15,1,1,15,2021,2
20,4,12,4,2024,0
17,3,16,3,2020,0
22,37,21,16,2019,2
34,0,28,15,2023,1
0,7,26,14,2020,1
8,32,6,20,2025,2
19,16,13,8,2023,2
29,7,6,17,2022,2
0,38,17,1,2020,0
18,36,12,1,2019,0
30,38,0,7,2022,1
11,32,2,5,2021,1
4,5,26,10,2019,2
2,2,20,9,2026,1
18,1,1,11,2019,2
17,20,15,9,2023,1
1,16,13,14,2019,2
3,9,6,14,2025,2
7,26,28,18,2022,2
3,24,22,1,2021,0
21,8,7,17,2025,2
30,6,2,12,2020,2
18,37,23,2,2024,0
20,8,7,13,2023,2
22,0,28,9,2024,1
2,19,7,13,2025,1
16,36,12,5,2019,0
21,5,18,20,2024,2
2,10,10,10,2026,1
6,7,6,9,2024,1
20,25,13,15,2022,2
17,35,13,13,2019,2
1,19,7,14,2022,1
33,37,21,7,2020,1
6,11,28,15,2020,2
4,37,22,6,2021,0
6,5,26,4,2020,1
29,38,14,19,2024,2
25,38,0,9,2023,1
1,1,1,14,2021,2
18,24,24,1,2022,0
2,23,28,18,2023,2
7,4,12,14,2019,2
18,20,16,8,2019,2
31,5,15,13,2021,2
